review_id,x_vector,y_vector,stars
fWKvX83p0-ka4JS3dc6E5A,-137.36203,94.617714,5
IjZ33sJrzXqU-0X6U8NwyA,-41.67051,34.885338,5
IESLBzqUCLdSzSqm0eCSxQ,-27.328342,18.395973,4
G-WvGaISbqqaMHlNnByodA,-40.01796,21.629467,5
1uJFq2r5QfJG_6ExMRCaGw,-31.038301,37.672455,5
m2CKSsepBCoRYWxiRUsxAg,-81.669945,96.412994,4
riFQ3vxNpP4rWLk_CSri2A,-62.215054,74.32052,5
JL7GXJ9u4YMx7Rzs05NfiQ,-23.984175,17.11395,4
XtnfnYmnJYi71yIuGsXIUA,-18.971304,19.690931,4
jJAIXA46pU1swYyRCdfXtQ,-15.986532,6.227531,5
E11jzpKz9Kw5K7fuARWfRw,-37.28273,57.871143,5
3rPt0LxF7rgmEUrznoH22w,-29.572115,29.404388,5
cGnKNX3I9rthE0-TH24-qA,-36.736126,37.471603,5
FvEEw1_OsrYdvwLV5Hrliw,-43.30987,61.413925,4
pfUwBKYYmUXeiwrhDluQcw,-59.307186,73.69437,4
HvqmdqWcerVWO3Gs6zbrOw,-37.082584,26.054495,2
HXP_0Ul-FCmA4f-k9CqvaQ,-146.9699,146.9375,3
j4SIzrIy0WrmW4yr4--Khg,-21.47351,28.636597,5
v0cTd3PNpYCkTyGKSpOfGA,-44.009552,41.09746,3
a0lCu-j2Sk_kHQsZi_eNgw,-54.574314,46.36312,4
MuqugTuR5DdIPcZ2IVP3aQ,-82.81323,70.17849,3
LmuKVFh03Uz318VKnUWrxA,-7.3999567,-3.603141,5
CQYc8hgKxV4enApDkx0IhA,-7.81412,7.55211,5
Dx9sfFU6Zn0GYOckijom-g,-33.309547,23.630852,1
cFtQnKzn2VDpBedy_TxlvA,-27.644129,25.147127,5
ChBeixVZerfFkeO0McdlbA,-32.893585,18.372246,4
kZ4TzrVX6qeF0OvrVTGVEw,-53.46542,69.98399,5
B5h25WK28rJjx4KHm4gr7g,-28.148987,25.536322,4
Y_ERKao0J5WsRiCtlKSNSA,-34.363995,35.536392,4
hre97jjSwon4bn1muHKOJg,-31.448126,26.720022,4
dtpJXC5p_sdWDLSobluJ3Q,-42.593174,32.452168,5
S9OVpXat8k5YwWCn6FAgXg,-29.708889,29.064438,1
-v-shjbxoj7hpU62yn6vag,-47.013844,26.696161,5
2VTwjhOX3UUvgOGbxe4xfA,-15.29778,5.0280666,4
Bk7F8IyBuOHVp6w3BAKVow,-36.726902,34.370064,3
ApKbwpYJdnhhgP4NbjQw2Q,-91.868706,58.046288,1
vUuFuf4LYxfqbZH3lYxJfw,-51.98887,37.220623,4
gNm48xplqt42p-NvCkzUBg,-13.068839,6.8319774,4
5V9lfjjlY7tkXgkcDUWYyg,-16.309145,15.676471,4
1fRGR6XTTElRBZW_oDrpUA,-60.609035,59.237217,4
2sG6LKzRz91l10stVHl8uQ,-103.08649,48.755558,4
fuY6Bf4EtW3UwrdLQJa9_Q,-26.357246,31.209387,4
